channel_id,last_date,status
UCcnn_S1xKw2_Ia03LIzbdSQ,2019-12-20 07:35:07,to do
UCfptl2ruyVqb_ytEx-yu0Fw,2019-12-20 07:41:30,to do
UCyoAJbq6rqi9bgMB0uDQSFg,2019-12-20 07:42:35,to do
UCiOdUbQvdP-vl-vxGXPK3hw,2019-12-20 07:52:22,to do
UCUPhHKzVXUHUkrQk8mvf4UQ,2019-12-20 08:24:58,to do
UCFULYRDdcR5Bj5cFP5SEkCA,2019-12-20 08:28:14,to do
UCnpCOBcIaj_zAhl19j2ex7Q,2019-12-20 08:31:31,to do
UCJcxDsajlNQ3SmlvaepbG0g,2019-12-20 08:33:46,to do
UCFsrZ8ZbpciuTQDqeuIC1xg,2019-12-20 08:35:59,to do
UCCD2CkwM-ADoFAeYQNexTvQ,2019-12-20 08:42:39,to do
UCl30qxtPL7trmj2RQ7yEj4w,2019-12-20 08:44:55,to do
UCnR3nXSo1dK78fhPq8NQMNg,2019-12-20 08:49:30,to do
UC4LHNX8d8RqnDX0OezgmCTg,2019-12-20 08:50:39,to do
UCP-5zKEh35OheBL1XVeT1Bg,2019-12-20 08:50:39,to do
UC99Rn4Nj8oOYSrh_SiACZ3g,2019-12-20 08:54:10,to do
UCQmGdB07nnkyvXbjkigkKtA,2019-12-20 08:54:10,to do
UCMnuoXBS_UrNaFi9Y2XEo1Q,2019-12-20 08:55:20,to do
UCo5HJNjfdSoPWsdAHLsvSxQ,2019-12-20 08:56:30,to do
UCqr3-cdMdiL1jPh51qeNG_A,2019-12-20 08:56:30,to do
UCXV8HmDQt2akopxAQQt3oeg,2019-12-20 08:58:51,to do
UC_NF_RuzpOy-67Q6FD31n-Q,2019-12-20 09:00:01,to do
UCX2m3Abl7JpNGk9lM0FWKdw,2019-12-20 09:07:02,to do
UCOcNuFJPrcARydmYXNoPOtw,2019-12-20 09:05:51,to do
UCIEPF0wZLJnzCBXtTzwB12g,2019-12-20 09:08:14,to do
UCiH__jq7fdPS8byQy5EpW5w,2019-12-20 09:08:14,to do
UCg_kd7CrbuzqcJS-vP7JonQ,2019-12-20 09:09:25,to do
UCPSUoXYiIj7uy3bzWa7Z2GQ,2019-12-20 09:11:49,to do
UC7CE4_EVnDJX5Vqbso6wafw,2019-12-20 09:27:26,to do
UCCqdNov_LjnNUMAY15XAwjQ,2019-12-20 09:31:12,to do
UCBj7MIpvGlIuZwuTcnqoQiQ,2019-12-20 09:31:12,to do
UC-XJyUgLjA5LhnaxrEUWUYQ,2019-12-20 09:31:12,to do
UCsnmGB-MHt8fc0Y2q-gGYvA,2019-12-20 09:32:28,to do
UC8KI7y5KeFJa6vLJrAShTfg,2019-12-20 09:37:35,to do
UCYEMaBTIIrcRg0cAeC7PmDg,2019-12-20 09:37:35,to do
UCk2wzETSoKdY2TVW01NRreQ,2019-12-20 09:37:35,to do
UCgKaZnsPxcZG1PkAselmDog,2019-12-20 09:40:08,to do
UCX6t7nYPuKKcdE_E6rv7j-A,2019-12-20 09:41:26,to do
UCnYSITFXLv4jAgEW3_Sa8ug,2019-12-20 09:41:26,to do
UCYjj30Cp0U9coWALouInCbg,2019-12-20 09:41:26,to do
UCpepIrjKnhoM4TJhJmWtJ-g,2019-12-20 09:42:43,to do
UCrwJTcWfPiwlYEpwIKo3OSw,2019-12-20 09:44:00,to do
UC2TCQVN0a5Pp4YKdSqCK_Eg,2019-12-20 09:44:00,to do
UCqdjDepEd9LxFrBqSbR4eWQ,2019-12-20 09:45:16,to do
UCjac3n9JMIuPP4JtvCMnB_w,2019-12-20 09:47:46,to do
UCRvpumrJs0qY1xLzeU0Ss1Q,2019-12-20 09:50:15,to do
UCcr9b4cbsnNYkezZZwsq6Sw,2019-12-20 09:51:30,to do
UC6Z3io8PyX27Qke5852rmAg,2019-12-20 09:54:00,to do
UCTSzncpmyfpSL_hIB_WsulA,2019-12-20 10:00:18,to do
UCmXYp5ARjJ80PNzRI2QLnZA,2019-12-20 10:10:56,to do
UC-Y9QemRifs5RcN0JNU4zBA,2019-12-20 10:10:56,to do
UCRZPKE-1WmcljvmOGFOGgYA,2019-12-20 10:10:56,to do
UC3zBaJWtbQw6H4IDBnVjK8g,2019-12-20 10:13:28,to do
UCQDXPdDZYN59RLQJ2IdBxIg,2019-12-20 10:13:28,to do
UCP_PWfbd9INW_eUbi0owZNg,2019-12-20 10:13:28,to do
UCenUOORB4mE70oDQ-qlME8Q,2019-12-20 10:16:01,to do
UC7Ub9FdpUYjSaEEl3wjOMgQ,2019-12-20 10:19:51,to do
UCMn2Nikpq2tLtpXuMdT80Yw,2019-12-20 10:22:24,to do
UCKExDImUDkqI7JbYGK7FQIA,2019-12-20 10:27:34,to do
UCY577sQz6dgfcZOY19oIL6A,2019-12-20 10:28:52,to do
UCxGp37Dlqwmx-il62ZfHn3Q,2019-12-20 10:28:52,to do
UCuXVuYLaRma-GfiEVzEmrOw,2019-12-20 10:36:39,to do
UCRNdeZ9JJadi0PWn_zs5KZQ,2019-12-20 10:36:39,to do
UCEPdOLGDFi7SYLdvcAqhEAA,2019-12-20 10:41:54,to do
UCU41f3Rl5YEWkQ4bxgTSt-Q,2019-12-20 13:39:34,to do
UCHHJHfnaPxVqwWkc0-cjZ4A,2019-12-20 13:43:31,to do
UCTcEaDyzD22dHVUbENJIYCA,2019-12-20 13:43:31,to do
UCnaFZeVQ76LDaGg4xWPbrZA,2019-12-20 13:51:37,to do
UCv1HX9GgqyAYE999BoGYc1g,2019-12-20 13:53:45,to do
UCb61rh4Nol2M-5voFnpL3SQ,2019-12-20 13:55:50,to do
UC40Ztmc_11leuUR-tHh_irQ,2019-12-20 13:58:23,to do
UCcHrTo0VtgH5z7g1JezefeA,2019-12-20 14:07:42,to do
UCbH2dPOgtG419kbB5n2ADTw,2019-12-20 15:08:29,to do
UCKpvVIrdj_gBxOKmDkZ3-cw,2019-12-20 15:08:29,to do
UCJHGrhJy2m-hPDmro9U7muw,2019-12-20 15:28:49,to do
UCg6mIfWJ2UPkBWdVmViCT-g,,to do
UC1AdXYfP4azO4uRlDpy9dFA,2019-12-20 15:31:48,to do
UCCjWNL2JK4xmUOz3T7DB6uQ,2019-12-20 15:50:06,to do
UCPYAaZSneiEpWU8LdnpCk3w,2019-12-20 15:48:33,to do
UCOUbTPRG2saipMAlLeS3kfA,2019-12-20 15:53:08,to do
